img_id,width,detections.id,detections.value,detections.geometry
1463097064038568,2560,1463368587344749,nature--vegetation,GiJ4AgoGbXB5LW9yKIAgEhMYAwgBIg0JhBjqGRoIAAgADwgP
1463097064038568,2560,1463368590678082,nature--vegetation,GiB4AgoGbXB5LW9yKIAgEhEYAwgBIgsJlBjiGRIMAAsIDw==
1463097064038568,2560,1463368594011415,nature--vegetation,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJ8hy2GSpeMRYAOB4WKn8IDw==
1463097064038568,2560,1463368597344748,nature--vegetation,GvcHeAIKBm1weS1vciiAIBLnBxgDCAEi4AcJuh+WDPocCFgIBg4bBF0NJQAjChUJGwoHDCsEQRQbAA0sFRYdDCsAIxRBCAUADy4pDDscOSYQHEEcFRYAGBUADQwAABYMFBATAA8SRwUzEkcIDSAACA42DhxYJggQHAQkEDQIBgAQDAYEEBIHCCMYHRAIKgcMEBQAAA8QGxAAGhwMBRQGECwiDhAeAEIMHAg6EB4QCAoWBJABAzwMBggkAx4EOgcsCAgMBwANCAAEFRgdFk8UCAwWAyoELAsmBF4DMg8sAzQVUC4jKAAeFAAQRBwGMQgHAA0IAAwVKAgIBwYjCA8QXQBBECkDJQsNBx0EMRANGDMaDRgIEBwMDQNdBJEBCBUUDSIODDoAJCQsBEgWFhA5BE8kIxZHFAcEABAAGCwILA4UACYVOgRIKgAcECIHHB0EDQgAFCMEHSINJAcMEAAcAwgIdAckDxAQOgAkDBYKABw6DAAQHgxWGg4UGzoNFB0QAAgVDAUADwgFByU+Twg5DBUUQgYsDBYLSBBKCAAIVwBzICUWAAwNNAAMFQoAEBsETxAHBA06AAgPFAUEigEHWE0AFxxWCAAVEAcANAgkAMIFGwUHQAA0GAAMHQPaAQ8TEwARDgMAEwYTAAMICwAHCA0ACwYLAAMIAwAHCA8GCxYDCAMIBQYDCA8sAwYDCAMOAwgDBgMIAAgDBgMQAw4DCAAGAwgACAMGAAgDBgAQAwYDLAUIB1AEHAMABBAABkMsFR5VFgBXCysHBQMdEw0DBwMHAwUDBwMVEQUHBxMVMQ0fDwMACwUHAAcHAwADBQcABQcHAAcHBwUHBwsHFxUHBQMAKSMLAA8VFQADDgsIAw4EbAN8CEIASgMUBwAHFiQQAAY3CAsAAAcIAAwVCxsAhQIDBwQNAx0EBQAdAAcATwMFAAcDBwANEQUAHQ4VADkHIwkAFywjBgcVABsMJQMNgwEWHxULGyUAJzoxDiMxA18LFQANHSsHKw8NEwAtUBMOByYHBk0QCxQhFh8ADxYlAAc6Bx4THgtAJRYTHgckEFgrSAksCxYEHDIWEBYIHgAsDzoEJDYAMBY/CB0PSQBpFj0FMyQDDi0WFwgxBz8OEBsAIxMPETEHABMjEw8ZMQ8PFwAXExUrDw8PVTUVDx0AIxQjBhUZHR8NBxsdKwAPBw0HCANBDB4aUQMjESsAMQsIA0gDOQQNDzMDQRQbBA4mABAjCAAHDQMVFxUJFQ8AAw4DFRcjAx0LDQBHIGUAHQ8rAysIIxQbDwmMCf4DIg8ACQ4OBgwFDwn3COUCGgcAACYIDg8J0BL9AUIHHAQsBBYMAAoNADsJBQMVDw==
1463097064038568,2560,1463368600678081,nature--vegetation,GqACeAIKBm1weS1vciiAIBKQAhgDCAEiiQIJ4jkAggieBgAAphgLAAslAE8QRwsVAxsZJQMrFw0ADQcHACMPKwQrDBsIMwgFBBUIAAgdACMLFQ8ABw0PAFUzAxsdIw8ACw8jACE5HxUHFQ8NDQAXKxcHFz8IXzEpCwAbXwBHEDMMVTIzEAAQGxRJGw0EIxQlMikEFRgjCB0EKwMVEwUPKwR7CCsIBwNdCw0DFREACyw/Bg0NEwAHDgsADx4DHB00FxYbBg8mGRZFBxMdCwAnOhEACxMHAAcdEx0DIx0xACMiKwAPFBsADRQlFgAAGxUjJwYLBQsVAA8lBRcjA0EPOQkHBjkMDQQlHSkAJR5HFAcMMRAHJjkEHQwTCAAEDyoICAcP
1463097064038568,2560,1463368604011414,nature--vegetation,GiR4AgoGbXB5LW9yKIAgEhUYAwgBIg8JrijKGCIkFToAAAgZDg8=
1463097064038568,2560,1463368607344747,nature--vegetation,GkJ4AgoGbXB5LW9yKIAgEjMYAwgBIi0J/DPKFpIBBBsEFQAHBDkAGwQPAAUEDwAFBAcEGxYlCAUMAAgPDEcMdADMAQ8=
1463097064038568,2560,1463368610678080,nature--vegetation,GiJ4AgoGbXB5LW9yKIAgEhMYAwgBIg0JkhqKGxoEAAAIAwAP
1463097064038568,2560,1463368614011413,nature--vegetation,Gj14AgoGbXB5LW9yKIAgEi4YAwgBIigJ8BOSFIIBDAcoCAoVAE8UIwgAFCQAXh80BzINDg88Dw4nMwcxACMP
1463097064038568,2560,1463368617344746,nature--vegetation,GlN4AgoGbXB5LW9yKIAgEkQYAwgBIj4JAADCAYYDAAAkDeQEB5IBA5gDB6ABALgCB24H5AIPtgMDAAArJQ0PACcsFQcLFQANEx1FFR9PEwURFR8ADw==
1463097064038568,2560,1463368624011412,nature--vegetation,Gjh4AgoGbXB5LW9yKIAgEikYAwgBIiMJzBqYHXIUABwVChYcABAcCwgHFhMHDRAXAAcOFwATFQAjDw==
1463097064038568,2560,1463368627344745,nature--vegetation,GukDeAIKBm1weS1vciiAIBLZAxgDCAEi0gMJAJwVig0uFjQIJioQPBAOLAgaBwwVKAASMwyXAQ+MBAQkCBAgBhQWAB4MLBIACB0M4wQMbgwOEAceCAwWJAAQMR4dBA0IAAQPIAgaNCgACA8UBQ4VABUUMxwVPgAIGwRJGCkqDxQbIBUuBxgODCYAFhIOEDMkFRAbIgA4Fg4cBCYQFD4IQDQSHAg6DBYYDUIAGBYcBjYFGDIEHgoICDIoJAgeABwLFgAQDwYTNC0WDxYEUCNAFQgXHm0qANEBBDMMFQNHQSP9AQAvFjkAIRwDQg5CBMQBCDopDRcVBx0LEwcAMSoDEBschwEQKyQNABckACQMCAgWFgYIEBgADBxCDUoIIA8EDS4HMAAQBSIHDAckAA8IAA4MFhYIHBxaCFYbOg4gFiAACg4cDgQQAA4PDg8sFB44Dw4bEAYIBQAjKAAyHVYHCA0UBwwbGg0MDiAHDCQaCAAkFQgADgoOEAUQBgcWCwU5Bg8NBysZAAcWJyQTJiEOBw4TBwAQCxYAOhQsHyRFHCEeJwgHDxMFFSMvDwcFAwARDyMFCwAtMy8VowINqwQIURYPDgcWCQA3AJsBHA8JigL9AWIHQgwOBCQIDh4ACAUEHRAVACMLDQMVDwcP
419363189104763,2560,419566039084478,nature--terrain,GtMBeAIKBm1weS1vciiAIBLDARgDCAEivAEJxg+AQMIEBx0XE1EADxR7CAcNAysEOSNPD0E1VwcAGzEDFQkADzkEKx4HNBZqCBIOAA4QHiAWHjIUCBxHKgAIDzgbBA8aEyQVoAEGUhUkFXB5VisQHQRPGDEADx4jHA0sAE4cJiYkDiYkTiwoMgxYHkIADggIABYDMhVCAB4nZgxWJ0IDOgwWAwgEHDgQBA4TDhcABwgADg8JuQiJAXIHBggIKggwDwQ/KkkpRxMNHwANHABYEhYELC0WDw==
419363189104763,2560,419566042417811,nature--vegetation,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJyAGkLSoSABAWAzodDQMdDw==
419363189104763,2560,419566045751144,nature--vegetation,GmF4AgoGbXB5LW9yKIAgElIYAwgBIkwJ/gHQLZICAA0MDwQTIgYcKxQAEBUMCBYHEBYAEAgADBYMbAA6CyQDNAQWA0gDRw8NAx0LFQsADRUADQ8VAxULDg8AISMXCA8VAyMP
419363189104763,2560,419566052417810,nature--vegetation,GiV4AgoGbXB5LW9yKIAgEhYYAwgBIhAJAKIqKhwWDFADHgsWFwcP
419363189104763,2560,419566055751143,nature--terrain,Gm14AgoGbXB5LW9yKIAgEl4YAwgBIlgJ+gWGL8ICAEEIDQAdID8eFQAPDA0QOQQjGCsKABwrGAciGyhHFA8UKxINOBs+BxAVGgccEDBsBmYFJBIeEDoILAAyUSZFBj0FMxYpJDNeHRYfOh8WLSMP
419363189104763,2560,419566059084476,nature--vegetation,GjZ4AgoGbXB5LW9yKIAgEicYAwgBIiEJxBm0OWojDxMbA0kMGxAHDBUkCAMyBwgADhMQAxwADg8=
419363189104763,2560,419566062417809,nature--terrain,GjN4AgoGbXB5LW9yKIAgEiQYAwgBIh4JxBm0OVoTJQANBBsUDwANCAcEMRIABJgBCB4dCA8=
419363189104763,2560,419566065751142,nature--vegetation,Gip4AgoGbXB5LW9yKIAgEhsYAwgBIhUJsDqSOjoYABQyADQPJBcAJTkAKw8=
419363189104763,2560,419566069084475,nature--vegetation,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJ/DbEFioODRwGBA5BCAANDw==
419363189104763,2560,419566072417808,nature--vegetation,GiJ4AgoGbXB5LW9yKIAgEhMYAwgBIg0J8gGKLhoAHgcAAB0P
419363189104763,2560,419566075751141,nature--vegetation,Gkl4AgoGbXB5LW9yKIAgEjoYAwgBIjQJ6AOuLrIBEBYsBRYlJAUQDyIWFDQESAgWDAgEFgMGEwUDFiUyHwgbFh0AMzMATxdrBA8P
419363189104763,2560,419566079084474,nature--vegetation,GiZ4AgoGbXB5LW9yKIAgEhcYAwgBIhEJggLELioELAsAAA0HBwQVDw==
